epoch,step,train_loss_epoch,train_loss_step,val_loss
70,3539,,3.0561187267303467,
70,3549,,1.8244785070419312,
70,3549,,,3.839474678039551
70,3549,3.3964245319366455,,
71,3559,,2.7544257640838623,
71,3569,,3.6740405559539795,
71,3579,,6.4259843826293945,
71,3589,,3.0561187267303467,
71,3599,,1.8244785070419312,
71,3599,,,3.839474678039551
71,3599,3.3964245319366455,,
72,3609,,2.7544257640838623,
72,3619,,3.6740405559539795,
72,3629,,6.4259843826293945,
72,3639,,3.0561187267303467,
72,3649,,1.8244785070419312,
72,3649,,,3.839474678039551
72,3649,3.3964245319366455,,
73,3659,,2.7544257640838623,
73,3669,,3.6740405559539795,
73,3679,,6.4259843826293945,
73,3689,,3.0561187267303467,
73,3699,,1.8244785070419312,
73,3699,,,3.839474678039551
73,3699,3.3964245319366455,,
74,3709,,2.7544257640838623,
74,3719,,3.6740405559539795,
74,3729,,6.4259843826293945,
74,3739,,3.0561187267303467,
74,3749,,1.8244785070419312,
74,3749,,,3.839474678039551
74,3749,3.3964245319366455,,
75,3759,,2.7544257640838623,
75,3769,,3.6740405559539795,
75,3779,,6.4259843826293945,
75,3789,,3.0561187267303467,
75,3799,,1.8244785070419312,
75,3799,,,3.839474678039551
75,3799,3.3964245319366455,,
76,3809,,2.7544257640838623,
76,3819,,3.6740405559539795,
76,3829,,6.4259843826293945,
76,3839,,3.0561187267303467,
76,3849,,1.8244785070419312,
76,3849,,,3.839474678039551
76,3849,3.3964245319366455,,
77,3859,,2.7544257640838623,
77,3869,,3.6740405559539795,
77,3879,,6.4259843826293945,
77,3889,,3.0561187267303467,
77,3899,,1.8244785070419312,
77,3899,,,3.839474678039551
77,3899,3.3964245319366455,,
78,3909,,2.7544257640838623,
78,3919,,3.6740405559539795,
78,3929,,6.4259843826293945,
78,3939,,3.0561187267303467,
78,3949,,1.8244785070419312,
78,3949,,,3.839474678039551
78,3949,3.3964245319366455,,
79,3959,,2.7544257640838623,
79,3969,,3.6740405559539795,
79,3979,,6.4259843826293945,
79,3989,,3.0561187267303467,
79,3999,,1.8244785070419312,
79,3999,,,3.839474678039551
79,3999,3.3964245319366455,,
80,4009,,2.7544257640838623,
80,4019,,3.6740405559539795,
80,4029,,6.4259843826293945,
80,4039,,3.0561187267303467,
80,4049,,1.8244785070419312,
80,4049,,,3.839474678039551
80,4049,3.3964245319366455,,
81,4059,,2.7544257640838623,
81,4069,,3.6740405559539795,
81,4079,,6.4259843826293945,
81,4089,,3.0561187267303467,
81,4099,,1.8244785070419312,
81,4099,,,3.839474678039551
81,4099,3.3964245319366455,,
82,4109,,2.7544257640838623,
82,4119,,3.6740405559539795,
82,4129,,6.4259843826293945,
82,4139,,3.0561187267303467,
82,4149,,1.8244785070419312,
82,4149,,,3.839474678039551
82,4149,3.3964245319366455,,
83,4159,,2.7544257640838623,
83,4169,,3.6740405559539795,
83,4179,,6.4259843826293945,
83,4189,,3.0561187267303467,
83,4199,,1.8244785070419312,
83,4199,,,3.839474678039551
83,4199,3.3964245319366455,,
84,4209,,2.7544257640838623,
84,4219,,3.6740405559539795,
